,age,filename,database,gender,race
2366,1,1_1_2_20161219201453804.jpg.chip.jpg,UTKFace,1,2
9067,18,18_1_0_20170117140340105.jpg.chip.jpg,UTKFace,1,0
3292,34,34_0_0_20170104170059137.jpg.chip.jpg,UTKFace,0,0
5205,52,52_0_0_20170104212257109.jpg.chip.jpg,UTKFace,0,0
1229,35,35_0_0_20170117134938738.jpg.chip.jpg,UTKFace,0,0
2485,26,26_1_3_20170109134452703.jpg.chip.jpg,UTKFace,1,3
4073,42,42_1_0_20170110154309957.jpg.chip.jpg,UTKFace,1,0
9948,32,32_0_0_20170117121634502.jpg.chip.jpg,UTKFace,0,0
14816,31,31_1_2_20170105161436755.jpg.chip.jpg,UTKFace,1,2
8862,42,42_0_0_20170117185759113.jpg.chip.jpg,UTKFace,0,0
883,32,32_1_0_20170103162938008.jpg.chip.jpg,UTKFace,1,0
13041,35,35_0_0_20170105161456219.jpg.chip.jpg,UTKFace,0,0
13307,14,14_0_4_20170103200528094.jpg.chip.jpg,UTKFace,0,4
8182,60,60_1_0_20170120220611834.jpg.chip.jpg,UTKFace,1,0
105,24,24_1_4_20161223231327524.jpg.chip.jpg,UTKFace,1,4
9363,40,40_0_0_20170120220807313.jpg.chip.jpg,UTKFace,0,0
14355,32,32_1_1_20170117182443477.jpg.chip.jpg,UTKFace,1,1
2244,24,24_0_1_20170116205610920.jpg.chip.jpg,UTKFace,0,1
3749,5,5_1_2_20161219195855851.jpg.chip.jpg,UTKFace,1,2
12422,7,7_1_0_20170109204800702.jpg.chip.jpg,UTKFace,1,0
10488,35,35_1_0_20170117092559828.jpg.chip.jpg,UTKFace,1,0
10111,26,26_0_3_20170119175254874.jpg.chip.jpg,UTKFace,0,3
4665,36,36_0_0_20170105172557165.jpg.chip.jpg,UTKFace,0,0
13145,34,34_1_3_20170104235039092.jpg.chip.jpg,UTKFace,1,3
13793,59,59_0_0_20170104212234005.jpg.chip.jpg,UTKFace,0,0
7698,29,29_1_2_20170116175313289.jpg.chip.jpg,UTKFace,1,2
3036,56,56_1_3_20170109141321745.jpg.chip.jpg,UTKFace,1,3
14926,45,45_0_3_20170117133824630.jpg.chip.jpg,UTKFace,0,3
1488,36,36_1_3_20170117183408380.jpg.chip.jpg,UTKFace,1,3
2059,13,13_0_0_20170104013342923.jpg.chip.jpg,UTKFace,0,0
12828,58,58_0_0_20170105173636909.jpg.chip.jpg,UTKFace,0,0
6199,75,75_0_2_20170112205221689.jpg.chip.jpg,UTKFace,0,2
8931,61,61_0_2_20170116193742399.jpg.chip.jpg,UTKFace,0,2
2449,28,28_1_3_20170119194934347.jpg.chip.jpg,UTKFace,1,3
8807,26,26_1_1_20170113011638655.jpg.chip.jpg,UTKFace,1,1
14768,30,30_0_0_20170116224623527.jpg.chip.jpg,UTKFace,0,0
9954,23,23_0_3_20170119163841604.jpg.chip.jpg,UTKFace,0,3
10882,26,26_0_4_20170117195754045.jpg.chip.jpg,UTKFace,0,4
12075,17,17_0_0_20170104230556561.jpg.chip.jpg,UTKFace,0,0
14657,54,54_0_0_20170111203603354.jpg.chip.jpg,UTKFace,0,0
13678,31,31_1_1_20170117135704010.jpg.chip.jpg,UTKFace,1,1
253,29,29_0_1_20170114034635292.jpg.chip.jpg,UTKFace,0,1
306,37,37_1_3_20170109131834447.jpg.chip.jpg,UTKFace,1,3
