,age,filename,database,gender,race
2926,34,34_0_3_20170119200817301.jpg.chip.jpg,UTKFace,0,3
3987,3,3_1_3_20161219225830840.jpg.chip.jpg,UTKFace,1,3
953,29,29_1_1_20170117094934398.jpg.chip.jpg,UTKFace,1,1
9418,29,29_1_4_20170103163340489.jpg.chip.jpg,UTKFace,1,4
560,39,39_1_1_20170113003558579.jpg.chip.jpg,UTKFace,1,1
11442,45,45_0_1_20170113180901829.jpg.chip.jpg,UTKFace,0,1
13023,1,1_0_0_20170109194450082.jpg.chip.jpg,UTKFace,0,0
5656,27,27_0_0_20170116204122640.jpg.chip.jpg,UTKFace,0,0
1520,16,16_1_1_20170112191246585.jpg.chip.jpg,UTKFace,1,1
5438,80,80_1_2_20170120223552933.jpg.chip.jpg,UTKFace,1,2
4562,1,1_0_2_20161219161640358.jpg.chip.jpg,UTKFace,0,2
3365,35,35_1_0_20170117185820075.jpg.chip.jpg,UTKFace,1,0
6642,21,21_1_0_20170105183522855.jpg.chip.jpg,UTKFace,1,0
9245,46,46_0_3_20170119181027204.jpg.chip.jpg,UTKFace,0,3
11022,25,25_0_0_20170113210126947.jpg.chip.jpg,UTKFace,0,0
11246,28,28_0_3_20170119194507123.jpg.chip.jpg,UTKFace,0,3
14227,1,1_0_2_20161219151123435.jpg.chip.jpg,UTKFace,0,2
2459,38,38_0_0_20170117133153508.jpg.chip.jpg,UTKFace,0,0
12955,27,27_0_2_20170119193331082.jpg.chip.jpg,UTKFace,0,2
10204,30,30_1_1_20170113011807912.jpg.chip.jpg,UTKFace,1,1
12484,4,4_0_0_20170110213542396.jpg.chip.jpg,UTKFace,0,0
9953,26,26_0_3_20170119180330838.jpg.chip.jpg,UTKFace,0,3
3390,27,27_1_2_20170116170959436.jpg.chip.jpg,UTKFace,1,2
15059,37,37_1_0_20170117140111378.jpg.chip.jpg,UTKFace,1,0
5791,8,8_0_0_20170103210825483.jpg.chip.jpg,UTKFace,0,0
7936,9,9_0_1_20170110215449668.jpg.chip.jpg,UTKFace,0,1
10565,60,60_0_3_20170119211748888.jpg.chip.jpg,UTKFace,0,3
10061,2,2_1_2_20161219202547820.jpg.chip.jpg,UTKFace,1,2
10952,7,7_0_4_20161221201748793.jpg.chip.jpg,UTKFace,0,4
4408,25,25_1_0_20170103180835288.jpg.chip.jpg,UTKFace,1,0
410,17,17_0_0_20170104003852806.jpg.chip.jpg,UTKFace,0,0
3929,24,24_1_1_20170115235935017.jpg.chip.jpg,UTKFace,1,1
13323,36,36_1_0_20170116222807886.jpg.chip.jpg,UTKFace,1,0
2958,30,30_0_0_20170104202024970.jpg.chip.jpg,UTKFace,0,0
5892,70,70_0_0_20170117174841157.jpg.chip.jpg,UTKFace,0,0
6206,21,21_1_0_20170112233610183.jpg.chip.jpg,UTKFace,1,0
223,13,13_0_0_20170110224745977.jpg.chip.jpg,UTKFace,0,0
13149,28,28_1_4_20170117202544912.jpg.chip.jpg,UTKFace,1,4
7861,31,31_0_2_20170104021231011.jpg.chip.jpg,UTKFace,0,2
2165,45,45_0_0_20170117173032588.jpg.chip.jpg,UTKFace,0,0
9718,40,40_0_0_20170117175319946.jpg.chip.jpg,UTKFace,0,0
2004,23,23_1_4_20170117194311620.jpg.chip.jpg,UTKFace,1,4
8826,62,62_0_0_20170111204633236.jpg.chip.jpg,UTKFace,0,0
12311,67,67_0_1_20170117143308243.jpg.chip.jpg,UTKFace,0,1
2908,25,25_1_0_20170116213524092.jpg.chip.jpg,UTKFace,1,0
14019,78,78_0_0_20170111222546535.jpg.chip.jpg,UTKFace,0,0
12661,6,6_1_4_20161223232203348.jpg.chip.jpg,UTKFace,1,4
11557,35,35_1_4_20170117195230500.jpg.chip.jpg,UTKFace,1,4
7384,85,85_0_0_20170111210457043.jpg.chip.jpg,UTKFace,0,0
1752,23,23_0_2_20170116172947652.jpg.chip.jpg,UTKFace,0,2
11684,52,52_1_0_20170104210038027.jpg.chip.jpg,UTKFace,1,0
11763,4,4_1_0_20170109192357612.jpg.chip.jpg,UTKFace,1,0
55,30,30_0_4_20170117202819247.jpg.chip.jpg,UTKFace,0,4
9431,29,29_0_4_20170117100325932.jpg.chip.jpg,UTKFace,0,4
6030,29,29_0_0_20170104165110771.jpg.chip.jpg,UTKFace,0,0
672,35,35_1_3_20170104220136126.jpg.chip.jpg,UTKFace,1,3
10166,35,35_0_2_20170104023316343.jpg.chip.jpg,UTKFace,0,2
10002,26,26_1_2_20170116180217943.jpg.chip.jpg,UTKFace,1,2
4855,49,49_0_4_20170117190551451.jpg.chip.jpg,UTKFace,0,4
3021,57,57_0_0_20170117191706202.jpg.chip.jpg,UTKFace,0,0
1419,90,90_1_0_20170111211648525.jpg.chip.jpg,UTKFace,1,0
14039,9,9_1_0_20170109204754719.jpg.chip.jpg,UTKFace,1,0
12464,1,1_0_0_20170110211517802.jpg.chip.jpg,UTKFace,0,0
714,35,35_1_0_20170117141002650.jpg.chip.jpg,UTKFace,1,0
2095,22,22_1_0_20170104021327948.jpg.chip.jpg,UTKFace,1,0
6137,38,38_0_1_20170117135753077.jpg.chip.jpg,UTKFace,0,1
4166,2,2_0_4_20161221195216736.jpg.chip.jpg,UTKFace,0,4
11109,34,34_0_3_20170119200756100.jpg.chip.jpg,UTKFace,0,3
4034,38,38_0_3_20170119202726182.jpg.chip.jpg,UTKFace,0,3
13265,24,24_1_2_20170116171610481.jpg.chip.jpg,UTKFace,1,2
5837,26,26_1_0_20170117191528652.jpg.chip.jpg,UTKFace,1,0
8016,17,17_1_1_20170114030034621.jpg.chip.jpg,UTKFace,1,1
14473,1,1_1_2_20161219205734821.jpg.chip.jpg,UTKFace,1,2
11882,34,34_0_1_20170117190152870.jpg.chip.jpg,UTKFace,0,1
4086,32,32_1_0_20170104164847153.jpg.chip.jpg,UTKFace,1,0
3935,38,38_0_1_20170116201824880.jpg.chip.jpg,UTKFace,0,1
