age,filename,database,gender,race
8,8_0_4_20170103200427437.jpg.chip.jpg,UTKFace,0,4
59,59_1_0_20170110131916835.jpg.chip.jpg,UTKFace,1,0
48,48_1_3_20170109141805054.jpg.chip.jpg,UTKFace,1,3
25,25_1_4_20170117195141428.jpg.chip.jpg,UTKFace,1,4
40,40_0_2_20170116174744815.jpg.chip.jpg,UTKFace,0,2
10,10_0_1_20170110223455893.jpg.chip.jpg,UTKFace,0,1
89,89_1_0_20170110183446677.jpg.chip.jpg,UTKFace,1,0
13,13_1_3_20170109213029072.jpg.chip.jpg,UTKFace,1,3
47,47_0_2_20170116184935713.jpg.chip.jpg,UTKFace,0,2
7,7_1_2_20161219204222117.jpg.chip.jpg,UTKFace,1,2
28,28_0_4_20170105162459467.jpg.chip.jpg,UTKFace,0,4
34,34_0_3_20170119200559340.jpg.chip.jpg,UTKFace,0,3
40,40_1_1_20170112205136114.jpg.chip.jpg,UTKFace,1,1
26,26_1_1_20170112233445111.jpg.chip.jpg,UTKFace,1,1
48,48_0_2_20170117160518496.jpg.chip.jpg,UTKFace,0,2
90,90_0_1_20170111210246547.jpg.chip.jpg,UTKFace,0,1
20,20_1_1_20170112192922677.jpg.chip.jpg,UTKFace,1,1
49,49_1_3_20170109012415373.jpg.chip.jpg,UTKFace,1,3
15,15_1_1_20170109214142778.jpg.chip.jpg,UTKFace,1,1
31,31_0_1_20170116011033268.jpg.chip.jpg,UTKFace,0,1
56,56_0_1_20170113174604139.jpg.chip.jpg,UTKFace,0,1
46,46_0_2_20170116173625939.jpg.chip.jpg,UTKFace,0,2
51,51_1_1_20170112213230359.jpg.chip.jpg,UTKFace,1,1
37,37_1_1_20170117172409586.jpg.chip.jpg,UTKFace,1,1
23,23_1_2_20170116173036181.jpg.chip.jpg,UTKFace,1,2
19,19_1_4_20170103223231399.jpg.chip.jpg,UTKFace,1,4
32,32_0_3_20170119181014212.jpg.chip.jpg,UTKFace,0,3
54,54_0_1_20170117142808120.jpg.chip.jpg,UTKFace,0,1
17,17_1_0_20170109214048004.jpg.chip.jpg,UTKFace,1,0
38,38_1_2_20170116161943473.jpg.chip.jpg,UTKFace,1,2
49,49_1_0_20170109221050190.jpg.chip.jpg,UTKFace,1,0
42,42_0_2_20170104184350086.jpg.chip.jpg,UTKFace,0,2
35,35_1_1_20170113000306521.jpg.chip.jpg,UTKFace,1,1
42,42_0_3_20170105175336870.jpg.chip.jpg,UTKFace,0,3
25,25_0_2_20170104021424381.jpg.chip.jpg,UTKFace,0,2
26,26_1_4_20170117174327119.jpg.chip.jpg,UTKFace,1,4
68,68_0_2_20170116193548368.jpg.chip.jpg,UTKFace,0,2
34,34_0_4_20170117141335902.jpg.chip.jpg,UTKFace,0,4
35,35_1_4_20170117203433192.jpg.chip.jpg,UTKFace,1,4
24,24_1_4_20170117150458348.jpg.chip.jpg,UTKFace,1,4
8,8_1_4_20161221202611945.jpg.chip.jpg,UTKFace,1,4
31,31_0_4_20170116191344848.jpg.chip.jpg,UTKFace,0,4
27,27_0_2_20170116185014529.jpg.chip.jpg,UTKFace,0,2
19,19_1_4_20170103233712235.jpg.chip.jpg,UTKFace,1,4
25,25_1_3_20170119163748638.jpg.chip.jpg,UTKFace,1,3
67,67_0_2_20170112224629884.jpg.chip.jpg,UTKFace,0,2
42,42_0_1_20170117142655442.jpg.chip.jpg,UTKFace,0,1
